Cur_Abbreviation,Cur_Scale,Cur_Name,Cur_OfficialRate
AUD,1,Австралийский доллар,1.9292
BGN,1,Болгарский лев,1.5991
UAH,100,Гривен,9.5655
DKK,10,Датских крон,4.2033
USD,1,Доллар США,2.6451
EUR,1,Евро,3.1256
PLN,10,Злотых,7.0733
JPY,100,Иен,2.4865
IRR,100000,Иранских риалов,6.2979
ISK,100,Исландских крон,1.901
CAD,1,Канадский доллар,2.0198
CNY,10,Китайских юаней,3.8697
KWD,1,Кувейтский динар,8.6509
MDL,10,Молдавских леев,1.5934
NZD,1,Новозеландский доллар,1.7799
NOK,10,Норвежских крон,2.975
RUB,100,Российских рублей,3.5087
XDR,1,СДР (Специальные права заимствования),3.7488
SGD,1,Сингапурcкий доллар,1.9384
KGS,100,Сомов,3.3785
KZT,1000,Тенге,6.2838
TRY,10,Турецких лир,3.5572
GBP,1,Фунт стерлингов,3.5116
CZK,100,Чешских крон,11.8774
SEK,10,Шведских крон,3.0254
CHF,1,Швейцарский франк,2.9026
